iter	Passed	Remaining
0	159	159519
1	161	80667
2	163	54420
3	165	41290
4	168	33472
5	170	28304
6	173	24558
7	175	21706
8	177	19501
9	179	17747
10	181	16308
11	184	15198
12	186	14185
13	188	13295
14	190	12516
15	193	11896
16	195	11304
17	197	10798
18	200	10350
19	202	9931
20	204	9548
21	207	9236
22	210	8926
23	212	8647
24	214	8377
25	216	8110
26	218	7861
27	220	7638
28	221	7432
29	224	7269
30	227	7102
31	229	6932
32	230	6764
33	232	6612
34	234	6466
35	236	6338
36	238	6218
37	240	6093
38	242	5970
39	244	5859
40	245	5750
41	247	5644
42	248	5539
43	250	5453
44	252	5363
45	254	5268
46	255	5173
47	256	5084
48	257	4998
49	258	4918
50	260	4838
51	261	4759
52	262	4684
53	263	4617
54	265	4554
55	266	4486
56	267	4419
57	268	4354
58	269	4293
59	270	4236
60	271	4176
61	272	4117
62	273	4060
63	273	4004
64	274	3952
65	275	3900
66	276	3854
67	277	3807
68	278	3759
69	279	3711
70	280	3666
71	280	3621
72	281	3577
73	282	3534
74	283	3492
75	283	3451
76	284	3410
77	285	3372
78	286	3334
79	286	3296
80	287	3259
81	287	3224
82	288	3185
83	289	3151
84	289	3121
85	291	3094
86	291	3062
87	292	3031
88	293	3000
89	293	2972
90	294	2943
91	295	2914
92	295	2886
93	296	2858
94	297	2831
95	297	2805
96	298	2780
97	299	2755
98	300	2730
99	300	2706
100	301	2682
101	301	2658
102	302	2635
103	303	2615
104	304	2596
105	305	2575
106	305	2553
107	306	2532
108	307	2511
109	307	2491
110	308	2472
111	309	2453
112	310	2434
113	310	2415
114	311	2396
115	312	2378
116	312	2359
117	313	2342
118	314	2325
119	314	2308
120	315	2291
121	315	2274
122	316	2258
123	317	2245
124	318	2230
125	319	2215
126	319	2199
127	320	2183
128	321	2169
129	321	2154
130	322	2139
131	323	2125
132	323	2111
133	324	2097
134	325	2084
135	325	2070
136	326	2057
137	327	2044
138	327	2030
139	328	2018
140	329	2006
141	329	1993
142	330	1982
143	331	1971
144	332	1959
145	332	1947
146	333	1936
147	334	1924
148	335	1913
149	335	1902
150	336	1890
151	336	1879
152	337	1869
153	338	1858
154	339	1848
155	339	1837
156	340	1827
157	340	1817
158	341	1806
159	342	1797
160	342	1786
161	343	1777
162	344	1768
163	345	1759
164	345	1750
165	346	1741
166	347	1732
167	347	1723
168	348	1714
169	349	1705
170	349	1696
171	350	1687
172	351	1679
173	352	1672
174	353	1665
175	353	1657
176	354	1649
177	355	1641
178	356	1633
179	356	1626
180	357	1619
181	358	1612
182	359	1604
183	360	1596
184	360	1589
185	361	1581
186	362	1574
187	362	1567
188	363	1559
189	364	1552
190	364	1544
191	365	1537
192	366	1530
193	366	1523
194	367	1516
195	368	1509
196	368	1502
197	369	1496
198	370	1489
199	371	1484
200	371	1478
201	372	1472
202	373	1465
203	374	1459
204	374	1453
205	375	1446
206	375	1440
207	376	1434
208	377	1428
209	378	1422
210	378	1416
211	379	1410
212	380	1404
213	380	1398
214	381	1392
215	382	1386
216	382	1381
217	383	1376
218	384	1371
219	385	1366
220	386	1361
221	386	1355
222	387	1350
223	388	1344
224	388	1339
225	389	1334
226	390	1328
227	390	1323
228	391	1318
229	392	1313
230	392	1307
231	393	1302
232	394	1297
233	394	1292
234	395	1287
235	396	1282
236	396	1277
237	397	1273
238	398	1269
239	399	1264
240	400	1259
241	400	1255
242	401	1250
243	402	1245
244	402	1240
245	403	1236
246	404	1231
247	404	1227
248	405	1222
249	406	1218
250	406	1213
251	407	1209
252	408	1204
253	408	1200
254	409	1195
255	410	1191
256	410	1187
257	411	1184
258	412	1180
259	413	1176
260	414	1172
261	414	1168
262	415	1164
263	416	1160
264	416	1155
265	417	1151
266	418	1147
267	418	1144
268	419	1140
269	420	1136
270	420	1132
271	421	1128
272	422	1124
273	423	1120
274	423	1117
275	424	1114
276	425	1110
277	426	1107
278	426	1103
279	428	1100
280	428	1097
281	429	1094
282	430	1090
283	431	1086
284	431	1083
285	432	1079
286	433	1075
287	433	1072
288	434	1068
289	435	1065
290	435	1061
291	436	1058
292	437	1056
293	438	1053
294	439	1049
295	439	1046
296	440	1043
297	441	1039
298	442	1036
299	442	1032
300	443	1029
301	443	1026
302	444	1022
303	445	1019
304	445	1016
305	446	1013
306	447	1009
307	448	1006
308	448	1003
309	449	1000
310	450	997
311	451	994
312	451	991
313	452	988
314	453	985
315	454	982
316	454	979
317	455	976
318	456	973
319	456	970
320	457	967
321	458	964
322	458	961
323	459	959
324	460	956
325	460	953
326	461	950
327	462	947
328	463	944
329	463	942
330	464	939
331	465	937
332	466	934
333	467	931
334	467	928
335	468	925
336	469	922
337	469	919
338	470	917
339	471	914
340	471	911
341	472	908
342	473	906
343	473	903
344	474	900
345	475	897
346	475	895
347	476	892
348	477	889
349	478	887
350	479	885
351	479	883
352	480	880
353	480	877
354	481	875
355	482	872
356	483	869
357	483	867
358	484	864
359	485	862
360	485	860
361	486	857
362	487	855
363	487	852
364	488	849
365	489	847
366	490	845
367	490	842
368	491	841
369	492	838
370	493	836
371	493	833
372	494	831
373	495	829
374	496	827
375	496	824
376	497	822
377	498	819
378	498	817
379	499	814
380	500	812
381	500	810
382	501	807
383	502	805
384	502	803
385	503	801
386	504	798
387	505	797
388	506	795
389	506	792
390	507	790
391	508	788
392	508	785
393	509	783
394	510	781
395	510	779
396	511	776
397	512	774
398	512	772
399	513	770
400	514	768
401	514	765
402	515	763
403	516	761
404	516	759
405	517	757
406	518	755
407	519	753
408	519	751
409	520	749
410	521	746
411	521	744
412	522	742
413	523	740
414	523	738
415	524	736
416	525	734
417	525	732
418	526	730
419	527	728
420	527	725
421	528	723
422	529	721
423	529	719
424	530	717
425	531	715
426	532	713
427	532	712
428	533	710
429	534	708
430	535	706
431	535	704
432	536	702
433	536	700
434	537	698
435	538	696
436	539	694
437	539	692
438	540	690
439	541	688
440	541	686
441	542	684
442	543	683
443	543	681
444	544	679
445	545	677
446	547	676
447	547	674
448	548	672
449	549	671
450	549	669
451	550	667
452	550	665
453	551	663
454	552	661
455	553	659
456	553	657
457	554	656
458	555	654
459	555	652
460	556	650
461	557	648
462	557	646
463	558	645
464	559	643
465	560	642
466	561	640
467	561	638
468	562	636
469	563	634
470	563	633
471	564	631
472	565	629
473	565	627
474	566	626
475	567	624
476	567	622
477	568	620
478	568	618
479	569	617
480	570	615
481	571	613
482	571	612
483	572	610
484	573	609
485	574	607
486	574	605
487	575	603
488	576	602
489	576	600
490	577	598
491	578	597
492	578	595
493	579	593
494	580	592
495	581	590
496	581	588
497	582	587
498	582	585
